tree_type,d,num_records,insert_time,split_count,node_count,utilization,height,search_query_count,avg_search_time,range_result_count,range_time,range_avg_gpa,delete_count,delete_time,tree_validation,redistribution_count,split_2to3_count
B-tree,3,100000,0.21696454205084592,31365,30531,0.6374705169885893,8,20000,1.520702100242488e-06,23,0.008266041986644268,3.146521739130435,5000,0.010735084011685103,True,0,0
B-tree,5,100000,0.17994733399245888,16591,16431,0.6694650304941321,5,20000,1.280858350219205e-06,23,0.007202791981399059,3.146521739130435,5000,0.007971375016495585,True,0,0
B-tree,10,100000,0.20590466703288257,7709,7662,0.6822864784465702,4,20000,1.2983874999918044e-06,23,0.006383958971127868,3.146521739130435,5000,0.007062416989356279,True,0,0
B-tree,20,100000,0.23389091598801315,3697,3677,0.6928134461233624,3,20000,1.5947708510793746e-06,23,0.0059611250180751085,3.146521739130435,5000,0.00793566700303927,True,0,0
B-tree,50,100000,0.3782266670023091,1467,1456,0.6871435442864015,2,20000,2.269039599923417e-06,23,0.005624707962851971,3.146521739130435,5000,0.012224707985296845,True,0,0
B+-tree,3,100000,0.20602225000038743,38546,38504,0.6669070159512385,8,20000,1.5161166986217721e-06,23,0.004591292003169656,3.146521739130435,5000,0.030977792048361152,True,0,0
B+-tree,5,100000,0.1891697080573067,18539,18537,0.6934363859680657,5,20000,1.2728625006275253e-06,23,0.004089457972440869,3.146521739130435,5000,0.027588042023126036,True,0,0
B+-tree,10,100000,0.17504154198104516,8102,8095,0.6979608265761233,4,20000,1.297237499966286e-06,23,0.003928124962840229,3.146521739130435,5000,0.02413608302595094,True,0,0
B+-tree,20,100000,0.21752499998547137,3810,3809,0.6970271469484893,3,20000,1.4583292009774596e-06,23,0.003776416997425258,3.146521739130435,5000,0.028320916986558586,True,0,0
B+-tree,50,100000,0.3420030420529656,1451,1449,0.7046809220124213,2,20000,1.99087084911298e-06,23,0.0038011250435374677,3.146521739130435,5000,0.04235608398448676,True,0,0
B*-tree,3,100000,0.27292804198805243,26037,25912,0.7679017085813016,7,20000,1.4016458502737805e-06,23,0.008181083016097546,3.146521739130435,5000,0.009692249994259328,True,48641,13501
B*-tree,5,100000,0.23090183298336342,13736,13717,0.8085512378919452,5,20000,1.2702707987045869e-06,23,0.006746958999428898,3.146521739130435,5000,0.00714820803841576,True,38673,7862
B*-tree,10,100000,0.24487250001402572,6285,6287,0.8367500627562547,4,20000,1.392918749479577e-06,23,0.006269374978728592,3.146521739130435,5000,0.007533291995059699,True,27961,3795
B*-tree,20,100000,0.3129952499875799,3015,3019,0.8493218165295012,3,20000,1.691554149147123e-06,23,0.005787457979749888,3.146521739130435,5000,0.008566792006604373,True,19986,1881
B*-tree,50,100000,0.5386271249735728,1167,1169,0.86333419666753,2,20000,2.5076479010749607e-06,23,0.005596957984380424,3.146521739130435,5000,0.013188292039558291,True,12095,751
